"Název";"Čas zápisu";"Množství";"kJ";"Bílkoviny [g]";"Sacharidy [g]";"Cukry [g]";"Tuky [g]";"Nasycené mastné kyseliny [g]";"Trans mastné kyseliny [g]";"Cholesterol [mg]";"Vláknina [g]";"Sodík [mg]";"Vápník [g]";"PHE [mg]"
"Omacka Kaiser Bolognese";01.02.2024;100;412;4;7;5;6;2;;;;;;0,22
"Kitchin Tuňák sekaný ve vlastní šťávě";01.02.2024;100;426;22,6;0;;1;0,8;;;0;1;;0
"káva espresso";01.02.2024;100;18;0,2;0;0;0,4;0;0;0;0;;0;0,01
"Smetana do kávy Tatra Premium";01.02.2024;100;497;3;4;4;10;7;;;;;;0,16
"Fit Toast Penam sandwich";01.02.2024;100;1255;10;49;3;5;0,5;0;;6;0;;0,47
"Excelent dušená šunka nejvyšší jakosti 93% masa Chodura";01.02.2024;100;420;17;0,5;0,2;2;0,9;;;;;;0,84
"brambory";01.02.2024;100;354;2;19;;0,1;0,04;;0;1;;0,03;0,07
"kuřecí prsa restovaná";01.02.2024;100;772;29;0,6;;7;2;;89;0;;0,01;1
"cibule";01.02.2024;100;182;1;9;6;0,25;0,09;0;;3;;0,04;0,07
"vejce (vajíčko) na měkko";"05.02.2024";100;620;12;1;;10;3;0;404;;;0,05;0,58
"vejce (vajíčko) na tvrdo";"05.02.2024";100;636;13;1;;11;3;0;424;;;0,05;0,65
"míchaná vejce (vajíčka)";"05.02.2024";100;694;12;2;;12;4;0;383;;;0,07;0,62
